id,host_verifications,amex,email,facebook,google,jumio,kba,linkedin,manual_offline,manual_online,phone,reviews,sent_id,weibo,number_of_host_verifications
4577188,"['email', 'phone', 'reviews']",0,1,0,0,0,0,0,0,0,1,1,0,0,3
14682588,"['email', 'phone', 'linkedin', 'amex', 'reviews', 'kba']",1,1,0,0,0,1,1,0,0,1,1,0,0,6
14418593,"['email', 'phone', 'linkedin', 'amex', 'reviews', 'kba']",1,1,0,0,0,1,1,0,0,1,1,0,0,6
3985462,"['email', 'phone', 'google', 'amex', 'reviews', 'kba']",1,1,0,1,0,1,0,0,0,1,1,0,0,6
14486237,"['email', 'phone', 'linkedin', 'amex', 'reviews', 'kba']",1,1,0,0,0,1,1,0,0,1,1,0,0,6
14469894,"['email', 'phone', 'linkedin', 'amex', 'reviews', 'kba']",1,1,0,0,0,1,1,0,0,1,1,0,0,6
13434817,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,1,0,0,4
14274311,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
14221294,"['email', 'phone', 'facebook', 'reviews', 'kba']",0,1,1,0,0,1,0,0,0,1,1,0,0,5
1867754,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",0,1,0,0,0,1,0,1,1,1,1,0,0,6
14368660,"['email', 'phone', 'facebook', 'reviews', 'jumio']",0,1,1,0,1,0,0,0,0,1,1,0,0,5
1695275,"['email', 'phone', 'facebook', 'reviews', 'jumio']",0,1,1,0,1,0,0,0,0,1,1,0,0,5
11592154,"['email', 'phone', 'reviews']",0,1,0,0,0,0,0,0,0,1,1,0,0,3
14073235,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
2915595,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
8249201,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
2243499,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",0,1,0,0,0,1,0,1,1,1,1,0,0,6
6356533,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",0,1,0,0,0,1,0,1,1,1,1,0,0,6
10231714,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
9452993,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,1,0,0,4
7650016,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
8141545,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
6240901,"['email', 'reviews']",0,1,0,0,0,0,0,0,0,0,1,0,0,2
6568621,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",0,1,0,0,0,1,0,1,1,1,1,0,0,6
3914363,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",0,1,0,0,0,1,0,1,1,1,1,0,0,6
12630619,"['phone', 'reviews']",0,0,0,0,0,0,0,0,0,1,1,0,0,2
6453686,"['email', 'phone', 'reviews']",0,1,0,0,0,0,0,0,0,1,1,0,0,3
3783090,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,1,0,0,4
12826881,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,1,0,0,4
6027467,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
14252020,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio']",0,1,1,1,1,0,0,0,0,1,1,0,0,6
14825159,"['email', 'phone', 'reviews']",0,1,0,0,0,0,0,0,0,1,1,0,0,3
14595735,"['email', 'phone', 'linkedin', 'reviews', 'kba']",0,1,0,0,0,1,1,0,0,1,1,0,0,5
13863190,"['email', 'phone', 'reviews']",0,1,0,0,0,0,0,0,0,1,1,0,0,3
5125723,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,1,0,0,4
9041513,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",0,1,0,0,0,1,0,1,1,1,1,0,0,6
9845039,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,1,0,0,4
10995976,"['email', 'phone', 'reviews']",0,1,0,0,0,0,0,0,0,1,1,0,0,3
12973308,"['email', 'phone', 'linkedin', 'amex', 'reviews', 'kba']",1,1,0,0,0,1,1,0,0,1,1,0,0,6
12432623,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
14824684,"['email', 'phone', 'reviews']",0,1,0,0,0,0,0,0,0,1,1,0,0,3
14481328,"['email', 'phone', 'reviews', 'jumio', 'kba']",0,1,0,0,1,1,0,0,0,1,1,0,0,5
13547391,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
13449049,"['email', 'phone', 'reviews']",0,1,0,0,0,0,0,0,0,1,1,0,0,3
228883,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
6951829,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
13709190,"['email', 'phone', 'reviews']",0,1,0,0,0,0,0,0,0,1,1,0,0,3
13266833,"['email', 'phone', 'facebook', 'reviews', 'kba']",0,1,1,0,0,1,0,0,0,1,1,0,0,5
6516588,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
11087731,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,1,0,0,4
1863443,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",0,1,0,0,0,1,0,1,1,1,1,0,0,6
7220216,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",0,1,0,0,0,1,0,1,1,1,1,0,0,6
13544430,"['email', 'phone']",0,1,0,0,0,0,0,0,0,1,0,0,0,2
12446656,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",0,1,0,0,1,0,1,0,0,1,1,0,0,5
13724578,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
1864705,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",0,1,0,0,0,1,0,1,1,1,1,0,0,6
4109165,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",0,1,0,0,0,1,0,1,1,1,1,0,0,6
14136069,"['email', 'phone', 'reviews']",0,1,0,0,0,0,0,0,0,1,1,0,0,3
6927063,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
7499960,"['email', 'phone', 'facebook', 'reviews', 'kba']",0,1,1,0,0,1,0,0,0,1,1,0,0,5
5990896,"['email', 'phone', 'reviews']",0,1,0,0,0,0,0,0,0,1,1,0,0,3
13147585,"['phone', 'facebook', 'reviews']",0,0,1,0,0,0,0,0,0,1,1,0,0,3
9040476,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",0,1,0,0,0,1,0,1,1,1,1,0,0,6
13546070,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
6844012,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
14662927,"['email', 'phone', 'google', 'reviews', 'jumio']",0,1,0,1,1,0,0,0,0,1,1,0,0,5
2174476,"['email', 'phone', 'reviews']",0,1,0,0,0,0,0,0,0,1,1,0,0,3
9367059,"['email', 'phone', 'facebook', 'reviews', 'kba']",0,1,1,0,0,1,0,0,0,1,1,0,0,5
14774868,"['email', 'phone', 'reviews']",0,1,0,0,0,0,0,0,0,1,1,0,0,3
11431331,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
9130532,"['phone', 'reviews']",0,0,0,0,0,0,0,0,0,1,1,0,0,2
8165898,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
8335838,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
10186477,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,1,0,0,4
716512,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
8187595,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
4565470,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",0,1,0,0,0,1,0,1,1,1,1,0,0,6
