,Word,Counts
0,walking distance,1.0
1,great location,0.9846308532031025
2,highly recommend,0.8725940821602988
3,great host,0.8521976443550704
4,definitely stay,0.7990519965527147
5,place stay,0.7673082447572537
6,everything needed,0.6449296179258833
7,house,0.6368859523125538
8,great place,0.6185004309106579
9,clean comfortable,0.5282964665326055
10,definitely recommend,0.48893995978167193
11,Capitol Hill,0.48161447859810397
12,downtown Seattle,0.4717035334673944
13,stay Seattle,0.4681126113185866
14,within walking,0.45489801781097383
15,enjoyed stay,0.4462798046538351
16,great stay,0.41827061189313414
17,gave us,0.4133869577707555
18,one,0.4085033036483769
19,us feel,0.4004596380350474
20,will definitely,0.3993105429474289
21,location great,0.38279230106291295
22,even,0.3764722780810112
23,recommend place,0.3682849755817294
24,place great,0.3606722206262568
25,made us,0.35923585176673367
26,come back,0.3442976156276932
27,next time,0.34314852054007466
28,really enjoyed,0.3401321459350761
29,recommend staying,0.3399885090491238
30,awesome,0.3351048549267452
31,amazing,0.33280666475150816
32,bed comfortable,0.33223211720769896
33,great time,0.3305084745762712
34,great experience,0.3259120942257972
35,place clean,0.3164320597529446
36,guest,0.3158575122091353
37,Space Needle,0.311117494972709
38,coffee shop,0.3109738580867567
39,visit Seattle,0.3099683998850905
40,apartment clean,0.30925021545532894
41,Pike Place,0.30623384085033034
42,time Seattle,0.30580293019247345
43,Airbnb experience,0.3053720195346165
44,everything need,0.3023556449296179
45,easy access,0.301924734271761
46,wonderful host,0.30163746049985635
47,location perfect,0.29445561620224076
48,bus stop,0.2882792301062913
49,family,0.2871301350186728
50,feel welcome,0.2836828497558173
51,unit,0.2731973570812985
52,comfortable bed,0.262855501292732
53,Thank,0.26012640045963803
54,clean well,0.25754093651249643
55,first time,0.2573972996265441
56,town,0.2572536627405918
57,really nice,0.25581729388106866
58,stay great,0.25107727664464236
59,found,0.2507900028727377
60,friend,0.24662453318012065
61,city,0.24116633151393277
62,first Airbnb,0.24116633151393277
63,great neighborhood,0.23972996265440966
64,room clean,0.23858086756679114
65,Highly recommended,0.23829359379488652
66,living room,0.2368572249353634
67,light rail,0.2358517667336972
68,make sure,0.23527721918988798
69,loved,0.23484630853203103
70,trip Seattle,0.23312266590060327
71,exactly described,0.23283539212869864
72,problem,0.2322608445848894
73,perfect location,0.23168629704108015
74,minute walk,0.23082447572536627
75,made sure,0.230249928181557
76,street parking,0.2299626544096524
77,short walk,0.22708991669060616
78,lot,0.22479172651536913
79,quiet neighborhood,0.2230680838839414
80,apartment great,0.22278081011203676
81,work,0.2219189887963229
82,visiting Seattle,0.22033898305084745
83,grocery store,0.22019534616489514
84,Although,0.21401896006894572
85,accommodation,0.2137316862970411
86,great restaurant,0.21258259120942258
87,studio,0.21229531743751795
88,etc,0.21200804366561332
89,people,0.21128985923585178
90,spot,0.21085894857799484
91,excellent,0.2094225797184717
92,got,0.20870439528871015
93,feel home,0.20870439528871015
94,public transportation,0.2082734846308532
95,restaurants bar,0.20769893708704396
96,arrived,0.20683711577133007
97,Place Market,0.20654984199942544
98,much,0.2036771042803792
99,home,0.1990807239299052
100,plu,0.19376615914966963
101,even though,0.1933352484918127
102,bedroom,0.19319161160586037
103,building,0.19304797471990806
104,back Seattle,0.19089342143062338
105,provided,0.19003160011490952
106,Seattle great,0.19003160011490952
107,blocks away,0.18945705257110027
108,Overall,0.18931341568514795
109,night,0.18902614191324332
110,especially,0.18730249928181558
111,wonderful stay,0.18486067222062624
112,made feel,0.18442976156276933
113,issue,0.18356794024705544
114,one night,0.18284975581729387
115,fantastic,0.18241884515943693
116,lovely,0.18026429187015225
